iter	MultiClass
0	0.9814152142
1	0.9104392487
2	0.8651000233
3	0.8336377405
4	0.8100817073
5	0.7922653703
6	0.7793866455
7	0.769698505
8	0.7610504617
9	0.7552736407
10	0.7499919331
11	0.7453885114
12	0.7416442508
13	0.7381047301
14	0.7352005588
15	0.7330340227
16	0.7303672711
17	0.7284184165
18	0.7264657824
19	0.7245592165
20	0.7229136127
21	0.7216768933
22	0.7204947222
23	0.7194252339
24	0.7186246612
25	0.7176329169
26	0.7162568136
27	0.715384044
28	0.7143763296
29	0.7137260229
30	0.7132082977
31	0.7124837527
32	0.7117652547
33	0.7112050805
34	0.7104207224
35	0.7099592094
36	0.7094752009
37	0.7090352172
38	0.7085374843
39	0.7081960026
40	0.7076782955
41	0.7072498003
42	0.7069249951
43	0.7065524901
44	0.7062831525
45	0.706009533
46	0.7057829744
47	0.7053355617
48	0.7048551093
49	0.7045856726
50	0.7043256105
51	0.7039403397
52	0.7036314333
53	0.7033384696
54	0.7031266666
55	0.7027201782
56	0.7023862545
57	0.7021187326
58	0.7018025973
59	0.7015373343
60	0.7013410537
61	0.7011473959
62	0.7009127334
63	0.700834265
64	0.7006300551
65	0.7004202591
66	0.7000851682
67	0.6998500929
68	0.6997041657
69	0.6994134749
70	0.6992487976
71	0.6990373096
72	0.6988624999
73	0.6986531831
74	0.6984648098
75	0.6982248938
76	0.6980538271
77	0.6978799809
78	0.69746869
79	0.6971802295
80	0.6970599048
81	0.6968668033
82	0.6967368024
83	0.6965098619
84	0.6962500666
85	0.6958496749
86	0.6956422518
87	0.6955018846
88	0.6954041707
89	0.6952930493
90	0.6950174469
91	0.6948122515
92	0.694686288
93	0.6943666642
94	0.6941597163
95	0.6939853125
96	0.6937978087
97	0.6936348002
98	0.6934675885
99	0.6932505423
100	0.69302157
101	0.6928591423
102	0.6927575462
103	0.6924043015
104	0.6922460819
105	0.6920654989
106	0.6918487716
107	0.6916601576
108	0.6913918806
109	0.6911849221
110	0.6910150067
111	0.6907553468
112	0.6905121505
113	0.6903400537
114	0.6902392292
115	0.6900644704
