iter	Passed	Remaining
0	50	76407
1	95	71225
2	126	63136
3	165	61732
4	205	61559
5	245	61108
6	288	61519
7	325	60769
8	367	60889
9	399	59474
10	434	58816
11	470	58347
12	505	57856
13	543	57710
14	588	58279
15	619	57472
16	659	57571
17	696	57332
18	732	57061
19	761	56321
20	799	56284
21	837	56285
22	885	56867
23	926	56958
24	963	56827
25	997	56565
26	1032	56305
27	1069	56209
28	1109	56300
29	1151	56411
30	1192	56501
31	1231	56479
32	1275	56700
33	1312	56587
34	1350	56528
35	1386	56375
36	1424	56311
37	1456	56052
38	1506	56418
39	1541	56273
40	1575	56077
41	1612	55961
42	1649	55876
43	1683	55716
44	1715	55462
45	1749	55293
46	1783	55122
47	1816	54937
48	1853	54882
49	1887	54736
50	1923	54647
51	1955	54461
52	1989	54324
53	2019	54068
54	2051	53885
55	2086	53808
56	2118	53633
57	2148	53404
58	2176	53151
59	2211	53066
60	2243	52920
61	2275	52773
62	2307	52640
63	2337	52447
64	2368	52280
65	2405	52273
66	2442	52249
67	2481	52253
68	2514	52141
69	2545	52002
70	2579	51916
71	2611	51796
72	2648	51779
73	2681	51678
74	2717	51628
75	2753	51595
76	2785	51470
77	2821	51442
78	2860	51457
79	2888	51271
80	2915	51068
81	2946	50951
82	2975	50797
83	3009	50724
84	3041	50633
85	3076	50587
86	3117	50627
87	3155	50628
88	3189	50567
89	3225	50536
90	3266	50579
91	3300	50512
92	3334	50448
93	3368	50387
94	3399	50274
95	3433	50208
96	3463	50095
97	3495	50001
98	3528	49929
99	3570	49982
100	3605	49946
101	3636	49843
102	3665	49716
103	3697	49637
104	3731	49573
105	3778	49685
106	3816	49681
107	3856	49704
108	3894	49704
109	3930	49662
110	3969	49672
111	4004	49628
112	4037	49558
113	4074	49542
114	4105	49446
115	4143	49438
116	4175	49350
117	4205	49250
118	4237	49173
119	4267	49080
120	4297	48975
121	4329	48902
122	4364	48865
123	4397	48800
124	4431	48742
125	4465	48692
126	4502	48676
127	4540	48669
128	4572	48600
129	4608	48569
130	4644	48535
131	4677	48474
132	4713	48447
133	4751	48437
134	4784	48374
135	4818	48324
136	4851	48265
137	4883	48202
138	4913	48112
139	4946	48049
140	4981	48014
141	5014	47953
142	5045	47882
143	5075	47790
144	5106	47718
145	5138	47656
146	5168	47570
147	5196	47474
148	5224	47373
149	5253	47283
150	5282	47188
151	5319	47172
152	5349	47093
153	5377	46998
154	5403	46889
155	5436	46834
156	5469	46783
157	5500	46716
158	5530	46643
159	5572	46673
160	5611	46668
161	5645	46630
162	5683	46619
163	5722	46617
164	5757	46583
165	5798	46601
166	5834	46574
167	5876	46594
168	5926	46677
169	5967	46686
170	6008	46696
171	6048	46703
172	6090	46719
173	6134	46749
174	6168	46703
175	6207	46695
176	6242	46661
177	6280	46644
178	6315	46610
179	6355	46609
180	6392	46585
181	6436	46609
182	6470	46568
183	6508	46551
184	6538	46474
185	6567	46395
186	6596	46315
187	6625	46236
188	6666	46242
189	6706	46240
190	6750	46266
191	6793	46277
192	6820	46189
193	6855	46153
194	6883	46068
195	6917	46025
196	6953	45994
197	6989	45963
198	7028	45950
199	7065	45924
200	7103	45910
201	7141	45889
202	7176	45854
203	7209	45799
204	7249	45798
205	7280	45733
206	7311	45672
207	7353	45678
208	7389	45646
209	7425	45613
210	7459	45567
211	7501	45572
212	7537	45542
213	7573	45511
214	7608	45476
215	7643	45436
216	7677	45391
217	7710	45343
218	7744	45298
219	7771	45218
220	7800	45142
221	7831	45081
222	7865	45042
223	7899	45000
224	7935	44970
225	7974	44954
226	8015	44951
227	8055	44943
228	8093	44921
229	8128	44884
230	8166	44863
231	8203	44836
232	8238	44800
233	8275	44771
234	8315	44764
235	8356	44755
236	8393	44730
237	8435	44730
238	8475	44720
239	8513	44695
240	8549	44660
241	8588	44644
242	8629	44641
243	8665	44604
244	8698	44558
245	8739	44549
246	8779	44538
247	8815	44505
248	8856	44497
249	8894	44471
250	8928	44431
251	8968	44414
252	9012	44420
253	9062	44455
254	9094	44403
255	9130	44370
256	9162	44317
257	9196	44270
258	9230	44227
259	9261	44168
260	9290	44105
261	9324	44061
262	9366	44056
263	9402	44020
264	9434	43969
265	9467	43922
266	9503	43887
267	9543	43869
268	9580	43842
269	9614	43801
270	9647	43751
271	9678	43694
272	9709	43638
273	9749	43625
274	9793	43626
275	9828	43587
276	9865	43559
277	9898	43512
278	9940	43504
279	9980	43486
280	10017	43457
281	10057	43441
282	10090	43393
283	10127	43361
284	10159	43310
285	10196	43279
286	10232	43247
287	10261	43185
288	10295	43140
289	10334	43117
290	10368	43078
291	10409	43061
292	10448	43041
293	10490	43033
294	10526	42996
295	10561	42958
296	10597	42925
297	10634	42893
298	10666	42845
299	10701	42805
300	10735	42761
301	10765	42706
302	10799	42662
303	10831	42613
304	10863	42564
305	10897	42520
306	10931	42478
307	10964	42434
308	10998	42393
309	11029	42337
310	11061	42288
311	11094	42245
312	11131	42213
313	11175	42209
314	11215	42191
315	11256	42177
316	11298	42166
317	11328	42109
318	11358	42050
319	11388	41995
320	11422	41951
321	11453	41900
322	11491	41876
323	11530	41851
324	11567	41819
325	11601	41779
326	11635	41739
327	11670	41701
328	11709	41678
329	11745	41644
330	11782	41611
331	11816	41571
332	11852	41538
333	11884	41489
334	11916	41440
335	11952	41405
336	11987	41369
337	12022	41332
338	12059	41301
339	12095	41266
340	12129	41224
341	12160	41175
342	12195	41135
343	12226	41088
344	12259	41041
345	12290	40993
346	12323	40949
347	12353	40894
348	12385	40847
349	12422	40817
350	12455	40771
351	12489	40731
352	12520	40682
353	12554	40642
354	12586	40595
355	12618	40548
356	12653	40513
357	12694	40494
358	12727	40451
359	12757	40398
360	12788	40347
361	12816	40291
362	12845	40235
363	12876	40186
364	12907	40138
365	12938	40088
366	12968	40034
367	12996	39979
368	13026	39926
369	13060	39887
370	13090	39837
371	13116	39773
372	13147	39725
373	13176	39670
374	13204	39613
375	13240	39580
376	13270	39530
377	13299	39475
378	13326	39416
379	13355	39363
380	13387	39319
381	13419	39276
382	13450	39227
383	13480	39178
384	13511	39131
385	13543	39087
386	13577	39047
387	13614	39018
388	13648	38981
389	13680	38935
390	13709	38884
391	13741	38840
392	13775	38803
393	13807	38758
394	13840	38719
395	13870	38670
396	13899	38618
397	13930	38571
398	13958	38518
399	13990	38474
400	14017	38415
401	14044	38361
402	14071	38303
403	14099	38250
404	14130	38204
405	14165	38169
406	14204	38146
407	14237	38105
408	14267	38058
409	14296	38008
410	14325	37957
411	14353	37905
412	14387	37867
413	14420	37828
414	14449	37778
415	14479	37729
416	14508	37680
417	14538	37634
418	14570	37590
419	14601	37545
420	14629	37495
421	14660	37449
422	14694	37413
423	14730	37381
424	14762	37340
425	14792	37294
426	14822	37247
427	14850	37195
428	14884	37159
429	14916	37117
430	14950	37081
431	14982	37040
432	15018	37007
433	15047	36961
434	15079	36918
435	15112	36879
436	15142	36835
437	15178	36803
438	15215	36774
439	15245	36728
440	15276	36684
441	15310	36647
442	15352	36632
443	15387	36597
444	15416	36548
445	15443	36496
446	15471	36445
447	15508	36417
448	15544	36386
449	15581	36357
450	15617	36325
451	15650	36286
452	15679	36240
453	15717	36212
454	15754	36182
455	15783	36135
456	15813	36090
457	15845	36049
458	15878	36011
459	15908	35966
460	15939	35925
461	15987	35919
462	16021	35884
463	16055	35848
464	16087	35806
465	16116	35760
466	16147	35717
467	16177	35672
468	16206	35626
469	16236	35582
470	16281	35570
471	16316	35537
472	16362	35528
473	16399	35498
474	16428	35450
475	16456	35402
476	16485	35356
477	16517	35315
478	16552	35281
479	16584	35241
480	16617	35203
481	16656	35178
482	16688	35139
483	16722	35103
484	16755	35066
485	16784	35019
486	16816	34978
487	16856	34956
488	16885	34911
489	16921	34879
490	16955	34843
491	16990	34809
492	17021	34768
493	17056	34735
494	17091	34700
495	17124	34663
496	17156	34623
497	17185	34578
498	17216	34536
499	17243	34487
500	17273	34442
501	17302	34397
502	17333	34357
503	17365	34317
504	17393	34270
505	17420	34220
506	17448	34174
507	17477	34128
508	17504	34080
509	17533	34036
510	17562	33989
511	17591	33946
512	17623	33907
513	17656	33869
514	17687	33829
515	17725	33801
516	17757	33764
517	17788	33722
518	17822	33686
519	17854	33649
520	17889	33616
521	17925	33584
522	17958	33546
523	17987	33503
524	18017	33461
525	18049	33422
526	18083	33387
527	18115	33348
528	18143	33303
529	18173	33261
530	18203	33219
531	18230	33171
532	18258	33125
533	18286	33079
534	18318	33041
535	18350	33003
536	18384	32968
537	18418	32934
538	18451	32898
539	18484	32861
540	18518	32826
541	18550	32788
542	18582	32750
543	18613	32711
544	18644	32671
545	18672	32626
546	18704	32587
547	18737	32551
548	18769	32512
549	18797	32468
550	18825	32424
551	18855	32383
552	18886	32342
553	18918	32304
554	18950	32267
555	18982	32228
556	19012	32188
557	19050	32159
558	19088	32133
559	19123	32100
560	19157	32065
561	19195	32037
562	19232	32007
563	19269	31979
564	19308	31952
565	19341	31917
566	19376	31884
567	19410	31848
568	19435	31800
569	19463	31756
570	19494	31716
571	19520	31669
572	19546	31621
573	19573	31576
574	19601	31532
575	19628	31486
576	19653	31439
577	19681	31395
578	19709	31352
579	19738	31309
580	19768	31268
581	19793	31221
582	19819	31174
583	19845	31127
584	19878	31091
585	19906	31049
586	19936	31008
587	19969	30972
588	19999	30932
589	20029	30893
590	20061	30856
591	20092	30817
592	20122	30777
593	20152	30737
594	20182	30698
595	20213	30659
596	20247	30625
597	20283	30594
598	20314	30556
599	20340	30511
600	20367	30466
601	20394	30422
602	20425	30384
603	20452	30340
604	20477	30293
605	20501	30245
606	20526	30198
607	20551	30151
608	20575	30103
609	20603	30060
610	20630	30016
611	20655	29970
612	20680	29923
613	20707	29880
614	20735	29839
615	20763	29796
616	20800	29768
617	20828	29726
618	20868	29701
619	20903	29669
620	20934	29632
621	20967	29597
622	20999	29561
623	21029	29522
624	21058	29481
625	21086	29440
626	21120	29407
627	21150	29367
628	21190	29342
629	21221	29306
630	21253	29269
631	21282	29229
632	21314	29193
633	21347	29159
634	21379	29123
635	21420	29099
636	21459	29072
637	21492	29039
638	21530	29010
639	21563	28975
640	21594	28939
641	21622	28897
642	21654	28862
643	21689	28829
644	21722	28795
645	21760	28766
646	21791	28730
647	21823	28694
648	21855	28658
649	21886	28621
650	21919	28585
651	21948	28546
652	21979	28509
653	22006	28466
654	22038	28431
655	22073	28399
656	22116	28377
657	22154	28349
658	22186	28314
659	22225	28286
660	22261	28256
661	22295	28222
662	22334	28195
663	22373	28169
664	22410	28139
665	22444	28105
666	22479	28073
667	22516	28044
668	22552	28013
669	22582	27975
670	22611	27936
671	22649	27907
672	22685	27876
673	22724	27848
674	22757	27814
675	22788	27777
676	22820	27742
677	22857	27712
678	22894	27682
679	22923	27643
680	22953	27605
681	22996	27581
682	23033	27552
683	23072	27524
684	23115	27502
685	23150	27470
686	23186	27439
687	23219	27404
688	23251	27369
689	23292	27343
690	23328	27312
691	23371	27289
692	23400	27250
693	23434	27216
694	23465	27179
695	23493	27139
696	23526	27104
697	23558	27068
698	23587	27029
699	23615	26989
700	23645	26950
701	23673	26911
702	23707	26877
703	23742	26844
704	23775	26811
705	23808	26775
706	23841	26741
707	23874	26707
708	23908	26673
709	23939	26637
710	23972	26602
